"�..Parcours_2023";"Nombre.de.voyages_2023";"Poids.de.voyages_2023";"Nombre.d.abonnements_2023";"Nombre.de.voyages_2024";"Poids.de.voyages_2024";"Nombre.d.abonnements_2024"
"AUCH - SAINT-JORY";8;"0,0068%";"0";4;"0,0039%";"0"
"FRONTIGNAN - SAINT-CHÉLY-D'APCHER";8;"0,0068%";"0";1;"0,0013%";"0"
"ELNE - MONTAUDRAN";8;"0,0068%";"0";2;"0,0019%";"0"
"ARLES - TOULOUSE MATABIAU";8;"0,0068%";"0";3;"0,0023%";"0"
"LABEGE INNOPOLE - VILLENOUVELLE";8;"0,0068%";"0";9;"0,0086%";"1"
"BRAX - LÉGUEVIN - GALLIENI CANCÉROPÔLE";8;"0,0067%";"0";7;"0,0062%";"0"
"PAMIERS - TARBES";8;"0,0067%";"0";6;"0,0053%";"0"
"AGDE - ALES";8;"0,0066%";"0";7;"0,0065%";"0"
"AURILLAC - CAPDENAC";8;"0,0066%";"0";6;"0,0058%";"0"
"CASTELNAUDARY - LEUCATE LA FRANQUI";8;"0,0066%";"0";4;"0,0036%";"0"
"CASTELNAUDARY - SETE";8;"0,0066%";"0";6;"0,0053%";"0"
"NIMES - PORT LA NOUVELLE";8;"0,0066%";"0";7;"0,0069%";"0"
"RODEZ - SAINT-DENIS-PRES-MARTEL";8;"0,0066%";"0";1;"0,0009%";"0"
"CAUSSADE - LALBENQUE FONTANES";8;"0,0065%";"0";3;"0,0029%";"0"
"MONTASTRUC LA CONSEILLERE - MONTRABE";8;"0,0065%";"0";1;"0,0013%";"0"
"BEAUCAIRE - LUNEL";8;"0,0065%";"0";12;"0,0110%";"0"
"CARBONNE - FAUGA";8;"0,0065%";"1";15;"0,0141%";"1"
"FAUGA - LONGAGES - NOÉ";8;"0,0065%";"1";6;"0,0056%";"1"
"ALES - TOULOUSE MATABIAU";8;"0,0065%";"0";11;"0,0103%";"0"
"BRAM - VILLEFRANCHE DE LAURAGAIS";8;"0,0065%";"0";7;"0,0069%";"0"
"PAMIERS - PINS JUSTARET";8;"0,0065%";"0";1;"0,0013%";"0"
"AVIGNONET - LABEGE INNOPOLE";8;"0,0065%";"0";4;"0,0035%";"0"
"AUCH - GALLIENI CANCÉROPÔLE";8;"0,0064%";"0";7;"0,0066%";"0"
"MILHAUD - NIMES";8;"0,0063%";"1";6;"0,0055%";"1"
"LALBENQUE FONTANES - MONTAUBAN";7;"0,0063%";"0";8;"0,0074%";"0"
"GRAND COMBE LA PISE - SAINT-GENIÈS-DE-MALGOIRÈS";7;"0,0062%";"0";12;"0,0114%";"0"
"CAPVERN - TOULOUSE MATABIAU";7;"0,0062%";"0";2;"0,0016%";"0"
"GRISOLLES - LACOURTENSOURT";7;"0,0062%";"1";6;"0,0057%";"0"
"GRAND COMBE LA PISE - MONTPELLIER SAINT-ROCH";7;"0,0061%";"0";15;"0,0138%";"0"
"LUZENAC GARANOU - PAMIERS";7;"0,0061%";"0";3;"0,0033%";"0"
"ARGELES SUR MER - PORT LA NOUVELLE";7;"0,0061%";"0";13;"0,0123%";"0"
"CASTRES - MURET";7;"0,0061%";"0";3;"0,0026%";"0"
"CASTELNAUDARY - LUNEL";7;"0,0061%";"0";5;"0,0049%";"0"
"LAMAGISTERE - MONTAUBAN";7;"0,0060%";"0";7;"0,0068%";"1"
"CAUSSADE - SAINT-JORY";7;"0,0060%";"0";12;"0,0111%";"0"
"LAGUEPIE - VILLEFRANCHE DE ROUERGUE";7;"0,0060%";"0";3;"0,0026%";"0"
" - TOULOUSE MATABIAU";7;"0,0060%";"0";466;"0,4371%";"45"
"ST MARTORY - TOULOUSE MATABIAU";7;"0,0060%";"0";11;"0,0103%";"0"
"AGEN - AUCH";7;"0,0059%";"0";21;"0,0197%";"0"
"ASSIER - AUBIN";7;"0,0059%";"0";10;"0,0092%";"0"
"AUCH - LONGAGES - NOÉ";7;"0,0059%";"0";6;"0,0053%";"0"
"BEAUCAIRE - NIMES PONT DU GARD";7;"0,0059%";"0";5;"0,0047%";"0"
"BEZIERS - LIMOUX";7;"0,0059%";"0";7;"0,0062%";"0"
"BEZIERS - NAUCELLE";7;"0,0059%";"0";10;"0,0092%";"0"
"CAPDENAC - VIVIEZ DECAZEVILLE";7;"0,0059%";"0";2;"0,0023%";"0"
"CARBONNE - CASTRES";7;"0,0059%";"0";3;"0,0026%";"0"
"CERBERE - MONTPELLIER SAINT-ROCH";7;"0,0059%";"0";16;"0,0150%";"0"
"CLERMONT FERRAND - FIGEAC";7;"0,0059%";"0";8;"0,0072%";"0"
"ELNE - PORT VENDRES VILLE";7;"0,0059%";"0";4;"0,0038%";"0"
"ILLE SUR TET - VILLEFRANCHE VERNET LES BAINS";7;"0,0059%";"0";1;"0,0009%";"0"
"LABEGE INNOPOLE - RIVESALTES";7;"0,0059%";"0";7;"0,0066%";"0"
"LEUCATE LA FRANQUI - LUNEL";7;"0,0059%";"0";1;"0,0009%";"0"
"LÉZIGNAN (AUDE) - NIMES";7;"0,0059%";"0";4;"0,0037%";"0"
"L'ISLE S SORGUE FONTAINE DE V - NIMES";7;"0,0059%";"0";14;"0,0131%";"0"
"LONGAGES - NOÉ - TARBES";7;"0,0059%";"0";1;"0,0013%";"0"
"MAGALAS - MILLAU";7;"0,0059%";"0";6;"0,0060%";"0"
"MIRAMAS - SETE";7;"0,0059%";"0";2;"0,0019%";"0"
"MONTEUX - MONTPELLIER SAINT-ROCH";7;"0,0059%";"0";4;"0,0035%";"0"
"NICE - NIMES";7;"0,0059%";"0";18;"0,0169%";"0"
"NIMES - PIERRELATTE";7;"0,0059%";"0";15;"0,0144%";"0"
"NIMES - SALON";7;"0,0059%";"0";4;"0,0038%";"0"
"ALES - MARVEJOLS";7;"0,0059%";"0";8;"0,0072%";"0"
"CAHORS - MOISSAC";7;"0,0059%";"0";11;"0,0105%";"0"
"ALBI MADELEINE - LISLE SUR TARN";7;"0,0059%";"0";3;"0,0026%";"0"
"ALBI MADELEINE - RABASTENS - COUFOULEUX";7;"0,0059%";"0";3;"0,0029%";"0"
"ALBI - CASTELNAUDARY";7;"0,0057%";"0";2;"0,0023%";"0"
"ALBI - FOIX";7;"0,0057%";"0";4;"0,0036%";"0"
"AUBIN - RODEZ";7;"0,0057%";"0";6;"0,0059%";"0"
"GRAND COMBE LA PISE - LANGOGNE";7;"0,0057%";"0";4;"0,0036%";"0"
"BEZIERS - PRADES MOLITG LES BAINS";7;"0,0057%";"0";1;"0,0013%";"0"
"MONTASTRUC LA CONSEILLERE - SAINT-SULPICE";7;"0,0057%";"0";4;"0,0038%";"0"
"COLOMIERS LYCEE INTERNATIONAL - GALLIENI CANCÉROPÔLE";7;"0,0057%";"0";9;"0,0085%";"0"
"CHANAC - MENDE";7;"0,0057%";"0";6;"0,0054%";"0"
"AGDE - PORT LA NOUVELLE";7;"0,0056%";"0";4;"0,0038%";"0"
"ASSIER - FIGEAC";7;"0,0056%";"0";1;"0,0009%";"0"
"AVIGNONET - CASTELNAUDARY";7;"0,0056%";"0";3;"0,0024%";"0"
"BRAM - MONTAUDRAN";7;"0,0056%";"0";6;"0,0053%";"0"
"FOIX - LUZENAC GARANOU";7;"0,0056%";"0";2;"0,0019%";"0"
"LABEGE INNOPOLE - MONTPELLIER SAINT-ROCH";7;"0,0056%";"0";12;"0,0116%";"0"
"CINTEGABELLE - SAVERDUN";7;"0,0056%";"0";2;"0,0019%";"0"
"LONGAGES - NOÉ - MURET";7;"0,0056%";"1";7;"0,0070%";"0"
"TOULOUSE MATABIAU - VILLEFORT";7;"0,0056%";"1";6;"0,0058%";"1"
"AUMONT AUBRAC - BANASSAC LA CANOURGUE";7;"0,0056%";"0";3;"0,0026%";"0"
"CARCASSONNE - PRADES MOLITG LES BAINS";7;"0,0056%";"0";1;"0,0013%";"0"
"GRAND COMBE LA PISE - MENDE";7;"0,0056%";"0";11;"0,0105%";"0"
"MENDE - SAINT-GENIÈS-DE-MALGOIRÈS";7;"0,0056%";"0";6;"0,0053%";"0"
"LANGOGNE - MENDE";7;"0,0055%";"0";4;"0,0036%";"0"
"MURET - SAINT-JORY";6;"0,0054%";"0";2;"0,0019%";"0"
"ALBI - FIGEAC";6;"0,0054%";"0";2;"0,0023%";"0"
"ALBI - MONTAUBAN";6;"0,0054%";"0";4;"0,0039%";"0"
"CAPDENAC - GAILLAC";6;"0,0054%";"0";4;"0,0038%";"0"
"CASTRES - TARBES";6;"0,0054%";"0";3;"0,0029%";"0"
"LATOUR DE CAROL ENVEITG - TARASCON SUR ARIEGE";6;"0,0054%";"0";10;"0,0095%";"0"
"LUZENAC GARANOU - TARASCON SUR ARIEGE";6;"0,0054%";"0";2;"0,0016%";"0"
"LAMAGISTERE - VALENCE D'AGEN";6;"0,0054%";"0";1;"0,0006%";"0"
"LABEGE INNOPOLE - MONTAUBAN";6;"0,0053%";"1";5;"0,0048%";"1"
"MONTPELLIER SAINT-ROCH - TARBES";6;"0,0053%";"1";16;"0,0153%";"0"
"NARBONNE - VERGÈZE - CODOGNAN";6;"0,0053%";"0";50;"0,0469%";"0"
"BOUSSENS - FAUGA";6;"0,0053%";"0";3;"0,0033%";"0"
"FOIX - TARBES";6;"0,0053%";"0";12;"0,0110%";"0"
"PAMIERS - SAINT-GAUDENS";6;"0,0052%";"0";4;"0,0039%";"0"
"BANASSAC LA CANOURGUE - MILLAU";6;"0,0052%";"0";3;"0,0026%";"0"
"CASTELNAU D'ESTRETEFONDS - CASTRES";6;"0,0052%";"0";3;"0,0026%";"0"
"MARVEJOLS - SAINT-CHÉLY-D'APCHER";6;"0,0052%";"0";13;"0,0123%";"0"
"AVIGNON CENTRE - RIVESALTES";6;"0,0051%";"0";4;"0,0038%";"0"
"AX LES THERMES - PORTET SAINT-SIMON";6;"0,0051%";"0";19;"0,0178%";"0"
"BEAUCAIRE - PERPIGNAN";6;"0,0051%";"0";5;"0,0047%";"0"
"BORDEAUX ST JEAN - CASTELSARRASIN";6;"0,0051%";"0";10;"0,0094%";"0"
"BRAM - COLLIOURE";6;"0,0051%";"0";10;"0,0094%";"0"
"BRIVE LA GAILLARDE - SAINT-JORY";6;"0,0051%";"0";2;"0,0019%";"0"
"CARCASSONNE - CASTRES";6;"0,0051%";"0";4;"0,0042%";"0"
"ESCALQUENS - PORT VENDRES VILLE";6;"0,0051%";"0";4;"0,0038%";"0"
"FONT ROMEU ODEILLO VIA - LATOUR DE CAROL ENVEITG";6;"0,0051%";"0";14;"0,0131%";"0"
"FRONTIGNAN - NIMES PONT DU GARD";6;"0,0051%";"0";7;"0,0066%";"0"
"LABEGE INNOPOLE - PORT LA NOUVELLE";6;"0,0051%";"0";5;"0,0047%";"0"
"LUNEL - SAINT-AUNÈS";6;"0,0051%";"0";2;"0,0019%";"0"
"MERENS LES VALS - SAINT-AGNE";6;"0,0051%";"0";2;"0,0019%";"0"
"MONTPELLIER SAINT-ROCH - OLLIOULES SANARY SUR MER";6;"0,0051%";"0";5;"0,0047%";"0"
"NARBONNE - NICE";6;"0,0051%";"0";2;"0,0019%";"0"
"NARBONNE - VILLENEUVE LES MAGUELONNE";6;"0,0051%";"0";2;"0,0020%";"0"
"NIMES - OLLIOULES SANARY SUR MER";6;"0,0051%";"0";8;"0,0075%";"0"
"ORANGE - SETE";6;"0,0051%";"0";3;"0,0028%";"0"
"PERIGUEUX - TARBES";6;"0,0051%";"0";2;"0,0019%";"0"
"SALSES - SETE";6;"0,0051%";"0";4;"0,0038%";"0"
"BAGNOLS SUR CEZE - MARSEILLE ST CHARLES";6;"0,0051%";"0";6;"0,0056%";"0"
"MILLAU - TOULOUSE MATABIAU";6;"0,0051%";"0";4;"0,0039%";"0"
"PERPIGNAN - VITROLLES AEROPORT MARSEILLE";6;"0,0051%";"0";2;"0,0019%";"0"
"MONTRABE - SAINT-SULPICE";6;"0,0051%";"0";3;"0,0025%";"0"
"CAUSSADE - GOURDON";6;"0,0050%";"0";3;"0,0026%";"0"
"NIMES - SAINT-CÉSAIRE";6;"0,0049%";"1";10;"0,0094%";"1"
"ALBI - CARBONNE";6;"0,0049%";"0";3;"0,0026%";"0"
"BOUSSENS - CASTRES";6;"0,0049%";"0";4;"0,0036%";"0"
"CHAMBORIGAUD - MENDE";6;"0,0049%";"0";1;"0,0013%";"0"
"RABASTENS - COUFOULEUX - RODEZ";6;"0,0049%";"0";11;"0,0107%";"0"
"CARCASSONNE - MONTAUBAN";6;"0,0048%";"0";3;"0,0026%";"0"
"LONGAGES - NOÉ - PORTET SAINT-SIMON";6;"0,0048%";"1";4;"0,0039%";"0"
"AX LES THERMES - LUZENAC GARANOU";6;"0,0048%";"0";1;"0,0006%";"0"
"BAILLARGUES - TOULON";6;"0,0048%";"0";7;"0,0063%";"0"
"BEZIERS - COURSAN";6;"0,0048%";"0";1;"0,0009%";"0"
"BRAX - LÉGUEVIN - PIBRAC";6;"0,0048%";"0";1;"0,0009%";"0"
"LABEGE INNOPOLE - LÉZIGNAN (AUDE)";6;"0,0048%";"0";11;"0,0100%";"0"
"LANNEMEZAN - TOURNAY";6;"0,0048%";"0";2;"0,0023%";"0"
"LUC PRIMAUBE - RODEZ";6;"0,0048%";"0";5;"0,0044%";"0"
"AVIGNONET - CARCASSONNE";6;"0,0048%";"0";5;"0,0051%";"0"
"ALBI MADELEINE - VILLEFRANCHE DE ROUERGUE";6;"0,0047%";"0";3;"0,0026%";"0"
"ALBIAS - SOUILLAC";6;"0,0047%";"0";4;"0,0039%";"0"
"AUBIN - GRAMAT";6;"0,0047%";"0";8;"0,0079%";"0"
"AUCH - SAVERDUN";6;"0,0047%";"0";7;"0,0066%";"0"
"AUTERIVE - CASTRES";6;"0,0047%";"0";1;"0,0013%";"0"
"AUTERIVE - SAINT-GAUDENS";6;"0,0047%";"0";4;"0,0039%";"0"
"BAGNERES-DE-LUCHON - CAZÈRES";6;"0,0047%";"0";14;"0,0131%";"0"
"BAGNERES-DE-LUCHON - LONGAGES - NOÉ";6;"0,0047%";"0";3;"0,0026%";"0"
"BAGNERES-DE-LUCHON - MARTRES TOLOSANE";6;"0,0047%";"0";1;"0,0013%";"0"
"BAZIEGE - FIGEAC";6;"0,0047%";"0";3;"0,0026%";"0"
"BRETENOUX BIARS - SAINT-DENIS-PRES-MARTEL";6;"0,0047%";"0";1;"0,0013%";"0"
"CAMPAGNAC ST GENIEZ - SAINT-CHÉLY-D'APCHER";6;"0,0047%";"0";13;"0,0118%";"0"
"CARBONNE - PAMIERS";6;"0,0047%";"0";2;"0,0020%";"0"
"CARBONNE - SAVERDUN";6;"0,0047%";"0";3;"0,0026%";"0"
"CASTELNAUDARY - MURET";6;"0,0047%";"0";8;"0,0075%";"0"
"CAUSSADE - FIGEAC";6;"0,0047%";"0";1;"0,0013%";"0"
"PAMIERS - RODEZ";6;"0,0047%";"0";3;"0,0026%";"0"
"RODEZ - SOUILLAC";6;"0,0047%";"0";6;"0,0053%";"0"
"SAINT-CHÉLY-D'APCHER - SETE";6;"0,0047%";"0";8;"0,0075%";"0"
"SAINT-GENIÈS-DE-MALGOIRÈS - VILLEFORT";6;"0,0047%";"0";1;"0,0013%";"0"
"BAGNOLS SUR CEZE - MONTPELLIER SAINT-ROCH";6;"0,0046%";"0";16;"0,0154%";"0"
"ALBI - LAVAUR";5;"0,0046%";"0";6;"0,0053%";"0"
"CARCASSONNE - CASTELNAU D'ESTRETEFONDS";5;"0,0046%";"0";1;"0,0013%";"0"
"COARRAZE - NAY - MONTRÉJEAU - GOURDAN-POLIGNAN";5;"0,0046%";"0";3;"0,0026%";"0"
"GOURDON - LALBENQUE FONTANES";5;"0,0046%";"0";8;"0,0072%";"0"
"MONTRÉJEAU - GOURDAN-POLIGNAN - TOURNAY";5;"0,0046%";"0";4;"0,0036%";"0"
"BEZIERS - VIAS";5;"0,0046%";"0";3;"0,0033%";"0"
"CASTELNAU D'ESTRETEFONDS - TARBES";5;"0,0046%";"0";10;"0,0093%";"0"
"CAZÈRES - LANNEMEZAN";5;"0,0046%";"0";1;"0,0013%";"0"
"ALBI - MONTPELLIER SAINT-ROCH";5;"0,0046%";"0";3;"0,0028%";"0"
"CASTELNAU D'ESTRETEFONDS - SAINT-AGNE";5;"0,0046%";"0";3;"0,0032%";"0"
"AUBIET - SAINT-AGNE";5;"0,0045%";"0";2;"0,0022%";"0"
"CASTRES - LABRUGUIERE";5;"0,0045%";"0";2;"0,0022%";"0"
"LABEGE INNOPOLE - MONTAUDRAN";5;"0,0045%";"0";11;"0,0101%";"0"
"MONTBARTIER - SAINT-JORY";5;"0,0045%";"0";3;"0,0025%";"0"
"PAU - TOURNAY";5;"0,0045%";"0";1;"0,0009%";"0"
"MARTRES TOLOSANE - SAINT-AGNE";5;"0,0045%";"0";3;"0,0029%";"0"
"MURET - SAINT-CYPRIEN ARÈNES";5;"0,0045%";"1";6;"0,0058%";"0"
"SAINT-CÉSAIRE - VERGÈZE - CODOGNAN";5;"0,0045%";"0";14;"0,0132%";"0"
"AUCH - AUTERIVE";5;"0,0044%";"0";4;"0,0039%";"0"
"BAGNERES-DE-LUCHON - LOURDES";5;"0,0044%";"0";1;"0,0013%";"0"
"BEZIERS - ST ROME DE CERNON";5;"0,0044%";"0";9;"0,0083%";"0"
"FIGEAC - SAINT-DENIS-PRES-MARTEL";5;"0,0044%";"0";4;"0,0039%";"0"
"MAZAMET - MONTASTRUC LA CONSEILLERE";5;"0,0044%";"0";6;"0,0058%";"0"
"AUCH - CASTRES";5;"0,0044%";"0";6;"0,0053%";"0"
"AURILLAC - RODEZ";5;"0,0044%";"0";4;"0,0039%";"0"
"GRAND COMBE LA PISE - VILLEFORT";5;"0,0044%";"0";4;"0,0039%";"0"
"L'ISLE JOURDAIN - MAZAMET";5;"0,0044%";"0";6;"0,0053%";"0"
"NARBONNE - PRADES MOLITG LES BAINS";5;"0,0044%";"0";4;"0,0039%";"0"
"CASTRES - NIMES";5;"0,0044%";"0";3;"0,0027%";"0"
"LUNEL VIEL - NIMES";5;"0,0043%";"0";4;"0,0038%";"0"
"ALBI - BARAQUEVILLE CARCENAC PEYRALES";5;"0,0043%";"0";9;"0,0083%";"0"
"DAMIATTE ST PAUL - LAVAUR";5;"0,0043%";"0";2;"0,0016%";"0"
"FOIX - VENERQUE - LE VERNET";5;"0,0043%";"0";12;"0,0112%";"0"
"DIEUPENTALE - SAINT-JORY";5;"0,0043%";"0";4;"0,0035%";"0"
" - MONTPELLIER SAINT-ROCH";5;"0,0042%";"0";205;"0,1926%";"20"
"AGDE - LEUCATE LA FRANQUI";5;"0,0042%";"0";1;"0,0009%";"0"
"ALBI - NARBONNE";5;"0,0042%";"0";1;"0,0009%";"0"
"ANTIBES - MONTPELLIER SAINT-ROCH";5;"0,0042%";"0";12;"0,0113%";"0"
"ARLES - NARBONNE";5;"0,0042%";"0";4;"0,0038%";"0"
"AUBAGNE - NIMES";5;"0,0042%";"0";5;"0,0047%";"0"
"AVIGNON CENTRE - TARASCON";5;"0,0042%";"0";14;"0,0131%";"0"
"AVIGNON TGV - LUNEL";5;"0,0042%";"0";5;"0,0047%";"0"
"BAILLARGUES - MIRAMAS";5;"0,0042%";"0";3;"0,0025%";"0"
"BAILLARGUES - TARASCON";5;"0,0042%";"0";5;"0,0047%";"0"
"BEAUCAIRE - BEZIERS";5;"0,0042%";"0";34;"0,0323%";"0"
"BOLLENE LA CROISIERE - NIMES";5;"0,0042%";"0";7;"0,0066%";"0"
"BRAM - ESCALQUENS";5;"0,0042%";"0";1;"0,0006%";"0"
"BRIVE LA GAILLARDE - CASTELSARRASIN";5;"0,0042%";"0";1;"0,0009%";"0"
"CAHORS - LACOURTENSOURT";5;"0,0042%";"0";3;"0,0032%";"0"
"CERBERE - SETE";5;"0,0042%";"0";7;"0,0065%";"0"
"COARRAZE - NAY - SAINT-AGNE";5;"0,0042%";"0";3;"0,0028%";"0"
"FIGEAC - MAURS";5;"0,0042%";"0";2;"0,0019%";"0"
"GARDANNE - MONTPELLIER SAINT-ROCH";5;"0,0042%";"0";3;"0,0028%";"0"
"LA BASTIDE ST LAURENT L BAINS - MARVEJOLS";5;"0,0042%";"0";1;"0,0009%";"0"
"LEUCATE LA FRANQUI - SALSES";5;"0,0042%";"0";2;"0,0019%";"0"
"NIMES - PORT VENDRES VILLE";5;"0,0042%";"0";4;"0,0038%";"0"
"BEZIERS - MONTAUDRAN";5;"0,0042%";"0";1;"0,0006%";"0"
"BRIVE LA GAILLARDE - TARBES";5;"0,0042%";"0";1;"0,0009%";"0"
"BAILLARGUES - BEAUCAIRE";5;"0,0042%";"0";7;"0,0069%";"0"
"PORTET SAINT-SIMON - VARILHES";5;"0,0042%";"1";2;"0,0019%";"0"
"ALES - NOZIÈRES - BRIGNON";5;"0,0042%";"0";5;"0,0045%";"0"
"MARTRES TOLOSANE - PORTET SAINT-SIMON";5;"0,0042%";"0";1;"0,0006%";"0"
"GALLIENI CANCÉROPÔLE - MURET";5;"0,0042%";"0";6;"0,0058%";"0"
"ALBI - TARBES";5;"0,0041%";"0";2;"0,0018%";"0"
"BAGNERES-DE-LUCHON - L'ISLE JOURDAIN";5;"0,0041%";"0";5;"0,0046%";"0"
"CAHORS - MURET";5;"0,0041%";"0";6;"0,0053%";"0"
"LÉZIGNAN (AUDE) - SETE";5;"0,0041%";"0";7;"0,0066%";"0"
"LISLE SUR TARN - MAZAMET";5;"0,0041%";"0";4;"0,0039%";"0"
"BEZIERS - BRAM";5;"0,0041%";"0";5;"0,0043%";"0"
"CAHORS - CARCASSONNE";5;"0,0041%";"0";3;"0,0026%";"0"
"CARBONNE - MONTAUBAN";5;"0,0041%";"0";5;"0,0046%";"0"
"CASTELNAUDARY - SAINT-SULPICE";5;"0,0041%";"0";4;"0,0039%";"0"
"MAZAMET - TARBES";5;"0,0041%";"0";2;"0,0018%";"0"
"MAGALAS - MONTPELLIER SAINT-ROCH";5;"0,0041%";"0";11;"0,0104%";"0"
"CASTELNAU D'ESTRETEFONDS - CASTELSARRASIN";5;"0,0041%";"0";6;"0,0059%";"0"
"LOURDES - TOURNAY";5;"0,0040%";"0";1;"0,0013%";"0"
"LES RAMASSIERS - TOULOUSE MATABIAU";5;"0,0040%";"0";2;"0,0023%";"0"
"ALBI - ALBI MADELEINE";5;"0,0039%";"0";2;"0,0019%";"0"
"BORDEAUX ST JEAN - TARBES";5;"0,0039%";"0";4;"0,0038%";"0"
"MARIGNAC ST BEAT - TOULOUSE MATABIAU";5;"0,0039%";"0";1;"0,0013%";"0"
"NIMES PONT DU GARD - TOULOUSE MATABIAU";5;"0,0039%";"0";2;"0,0014%";"0"
"CAPVERN - TARBES";5;"0,0039%";"0";4;"0,0039%";"0"
"CAZÈRES - MARTRES TOLOSANE";5;"0,0039%";"0";1;"0,0009%";"0"
"GRAGNAGUE - SAINT-SULPICE";5;"0,0039%";"0";3;"0,0029%";"0"
"COLOMIERS LYCEE INTERNATIONAL - GIMONT CAHUZAC";5;"0,0039%";"0";5;"0,0045%";"0"
"BEZIERS - VIC - MIREVAL";5;"0,0039%";"0";4;"0,0034%";"0"
"AUCH - SAINT-MARTIN DU TOUCH";4;"0,0038%";"0";3;"0,0032%";"0"
"BOUSSENS - MONTAUBAN";4;"0,0038%";"0";1;"0,0013%";"0"
"CASTRES - PAMIERS";4;"0,0038%";"0";2;"0,0020%";"0"
"GAILLAC - MURET";4;"0,0038%";"0";4;"0,0039%";"0"
"LATOUR DE CAROL ENVEITG - TARBES";4;"0,0038%";"0";3;"0,0026%";"0"
"CASTELNAU D'ESTRETEFONDS - LABEGE INNOPOLE";4;"0,0038%";"0";3;"0,0026%";"0"
"ALBI - VILLEFRANCHE DE LAURAGAIS";4;"0,0037%";"0";1;"0,0013%";"0"
"BEDARIEUX - SETE";4;"0,0037%";"0";2;"0,0023%";"0"
"NIMES - STE CECILE D'ANDORGE";4;"0,0037%";"0";8;"0,0071%";"0"
"SAINT-JORY - SAVERDUN";4;"0,0037%";"0";2;"0,0019%";"0"
"SAINT-AGNE - SAINT-CYPRIEN ARÈNES";4;"0,0037%";"0";2;"0,0019%";"0"
"CASTELNAU D'ESTRETEFONDS - GRISOLLES";4;"0,0037%";"0";3;"0,0025%";"0"
"LAVAUR - VIELMUR SUR AGOUT";4;"0,0037%";"0";2;"0,0016%";"0"
"AVIGNONET - MONTAUDRAN";4;"0,0037%";"0";3;"0,0026%";"0"
"CASTELNAU D'ESTRETEFONDS - DIEUPENTALE";4;"0,0037%";"0";5;"0,0045%";"0"
"MONTAUBAN - MONTAUDRAN";4;"0,0037%";"0";1;"0,0013%";"0"
"CASTRES - CAZÈRES";4;"0,0036%";"0";1;"0,0013%";"0"
"GOURDON - TARBES";4;"0,0036%";"0";4;"0,0039%";"0"
"AUBIN - SOUILLAC";4;"0,0036%";"0";4;"0,0039%";"0"
"BEZIERS - ST GEORGES DE LUZENCON";4;"0,0036%";"0";7;"0,0062%";"0"
"CASTRES - GOURDON";4;"0,0036%";"0";1;"0,0013%";"0"
"DIEUPENTALE - FIGEAC";4;"0,0036%";"0";4;"0,0039%";"0"
"DIEUPENTALE - TARBES";4;"0,0036%";"0";4;"0,0039%";"0"
"GOURDON - SAINT-DENIS-PRES-MARTEL";4;"0,0036%";"0";1;"0,0013%";"0"
"ILLE SUR TET - MONTPELLIER SAINT-ROCH";4;"0,0036%";"0";1;"0,0013%";"0"
"LANNEMEZAN - LONGAGES - NOÉ";4;"0,0036%";"0";1;"0,0013%";"0"
"LONGAGES - NOÉ - PAMIERS";4;"0,0036%";"0";1;"0,0013%";"0"
"MONTPELLIER SAINT-ROCH - NAUCELLE";4;"0,0036%";"0";7;"0,0066%";"0"
"PAMIERS - PAU";4;"0,0036%";"0";1;"0,0013%";"0"
"SAINT-JORY - VILLEFRANCHE DE ROUERGUE";4;"0,0036%";"0";3;"0,0026%";"0"
"TOULOUSE MATABIAU - VIC - MIREVAL";4;"0,0036%";"0";1;"0,0009%";"0"
"AGDE - SAINT-CHÉLY-D'APCHER";4;"0,0036%";"0";4;"0,0039%";"0"
"ALBI - L'ISLE JOURDAIN";4;"0,0036%";"0";1;"0,0013%";"0"
"AUCH - BOUSSENS";4;"0,0036%";"0";4;"0,0039%";"0"
"AUCH - CASTELNAU D'ESTRETEFONDS";4;"0,0036%";"0";7;"0,0066%";"0"
"AUCH - PORTET SAINT-SIMON";4;"0,0036%";"0";3;"0,0026%";"0"
"AUMONT AUBRAC - MILLAU";4;"0,0036%";"0";1;"0,0013%";"0"
"BEDARIEUX - LUNEL";4;"0,0036%";"0";1;"0,0013%";"0"
"BOUSSENS - SAVERDUN";4;"0,0036%";"0";3;"0,0026%";"0"
"CAHORS - SAINT-GAUDENS";4;"0,0036%";"0";1;"0,0013%";"0"
"CASTELNAU D'ESTRETEFONDS - SAINT-GAUDENS";4;"0,0036%";"0";4;"0,0039%";"0"
"CASTELSARRASIN - FIGEAC";4;"0,0036%";"0";6;"0,0053%";"0"
"CASTELSARRASIN - SOUILLAC";4;"0,0036%";"0";3;"0,0026%";"0"
"CASTRES - GRISOLLES";4;"0,0036%";"0";3;"0,0026%";"0"
"FIGEAC - L'ISLE JOURDAIN";4;"0,0036%";"0";3;"0,0026%";"0"
"FIGEAC - MONTBARTIER";4;"0,0036%";"0";1;"0,0013%";"0"
"FIGEAC - PAMIERS";4;"0,0036%";"0";3;"0,0026%";"0"
"GAILLAC - NAUCELLE";4;"0,0036%";"0";5;"0,0045%";"0"
"LANNEMEZAN - MONTAUBAN";4;"0,0036%";"0";7;"0,0066%";"0"
"L'ISLE JOURDAIN - TARBES";4;"0,0036%";"0";3;"0,0026%";"0"
"LUNEL - MENDE";4;"0,0036%";"0";1;"0,0013%";"0"
"MILLAU - PERPIGNAN";4;"0,0036%";"0";10;"0,0097%";"0"
