"�..Parcours_2023";"Nombre.de.voyages_2023";"Poids.de.voyages_2023";"Nombre.d.abonnements_2023";"Nombre.de.voyages_2024";"Poids.de.voyages_2024";"Nombre.d.abonnements_2024"
"MIRAMAS - MONTPELLIER SAINT-ROCH";98;"0,0826%";"0";107;"0,1002%";"0"
"AGDE - TOULOUSE MATABIAU";97;"0,0822%";"0";133;"0,1246%";"0"
"COLOMIERS LYCEE INTERNATIONAL - SAINT-CYPRIEN ARÈNES";96;"0,0814%";"5";60;"0,0564%";"3"
"ALES - LANGOGNE";96;"0,0813%";"0";61;"0,0575%";"0"
"MARSEILLE ST CHARLES - SETE";95;"0,0806%";"0";89;"0,0831%";"0"
"LAVILLEDIEU - TOULOUSE MATABIAU";95;"0,0803%";"2";26;"0,0246%";"2"
"BOUSSENS - MURET";95;"0,0800%";"1";71;"0,0664%";"1"
"BEZIERS - CARCASSONNE";94;"0,0795%";"3";43;"0,0402%";"2"
"LATOUR DE CAROL ENVEITG - VILLEFRANCHE VERNET LES BAINS";94;"0,0795%";"0";149;"0,1397%";"0"
"LEUCATE LA FRANQUI - NARBONNE";94;"0,0792%";"1";60;"0,0561%";"2"
"MARSEILLE ST CHARLES - NARBONNE";93;"0,0789%";"0";28;"0,0264%";"0"
"CORDES VINDRAC - TOULOUSE MATABIAU";92;"0,0778%";"0";33;"0,0306%";"0"
"LEXOS - TOULOUSE MATABIAU";89;"0,0751%";"0";38;"0,0357%";"0"
"BEZIERS - VERGÈZE - CODOGNAN";88;"0,0741%";"0";42;"0,0391%";"0"
"AGEN - CASTELSARRASIN";87;"0,0739%";"0";17;"0,0160%";"0"
"BAILLARGUES - LUNEL";87;"0,0737%";"3";73;"0,0685%";"2"
"CLERMONT FERRAND - TOULOUSE MATABIAU";87;"0,0735%";"0";101;"0,0947%";"0"
"AGEN - VALENCE D'AGEN";87;"0,0733%";"2";38;"0,0354%";"2"
"CAUSSADE - MONTAUBAN";85;"0,0717%";"2";44;"0,0415%";"2"
"GIMONT CAHUZAC - SAINT-CYPRIEN ARÈNES";84;"0,0711%";"0";4;"0,0038%";"0"
"SAINT-AGNE - TOULOUSE MATABIAU";84;"0,0710%";"0";82;"0,0766%";"1"
"CAPDENAC - FIGEAC";84;"0,0706%";"1";18;"0,0172%";"1"
"CAHORS - CAUSSADE";83;"0,0701%";"2";55;"0,0518%";"1"
"MARSSAC SUR TARN - TOULOUSE MATABIAU";83;"0,0699%";"1";8;"0,0076%";"1"
"FOIX - PAMIERS";82;"0,0695%";"4";64;"0,0601%";"2"
"AURILLAC - TOULOUSE MATABIAU";82;"0,0693%";"0";127;"0,1187%";"0"
"BAILLARGUES - BEZIERS";80;"0,0675%";"3";93;"0,0868%";"2"
"ELNE - MONTPELLIER SAINT-ROCH";79;"0,0671%";"0";79;"0,0741%";"0"
"LANGOGNE - NIMES";79;"0,0668%";"0";37;"0,0350%";"0"
"ANDORRE - L'HOSPITALET - TOULOUSE MATABIAU";79;"0,0668%";"0";89;"0,0834%";"0"
"DAMIATTE ST PAUL - TOULOUSE MATABIAU";79;"0,0665%";"1";25;"0,0235%";"0"
"ELNE - TOULOUSE MATABIAU";78;"0,0663%";"0";148;"0,1391%";"0"
"LUZENAC GARANOU - TOULOUSE MATABIAU";78;"0,0658%";"0";20;"0,0188%";"0"
"ELNE - PERPIGNAN";77;"0,0654%";"1";70;"0,0656%";"2"
"MONTRABE - TOULOUSE MATABIAU";77;"0,0649%";"5";40;"0,0379%";"4"
"COLOMIERS - L'ISLE JOURDAIN";76;"0,0646%";"4";56;"0,0525%";"3"
"GENOLHAC - NIMES";76;"0,0646%";"0";95;"0,0890%";"0"
"BEDARIEUX - BEZIERS";76;"0,0641%";"0";47;"0,0439%";"0"
"CASTELNAU D'ESTRETEFONDS - MONTAUBAN";76;"0,0640%";"1";24;"0,0224%";"1"
"FIGEAC - RODEZ";76;"0,0638%";"0";48;"0,0453%";"0"
"ESCALQUENS - TOULOUSE MATABIAU";75;"0,0636%";"4";63;"0,0594%";"3"
"NARBONNE - RIVESALTES";75;"0,0635%";"1";56;"0,0525%";"1"
"PERPIGNAN - PORT LA NOUVELLE";75;"0,0632%";"1";58;"0,0544%";"1"
"BEAUCAIRE - NIMES";75;"0,0631%";"1";147;"0,1377%";"1"
"TOULOUSE MATABIAU - VIELMUR SUR AGOUT";73;"0,0621%";"0";35;"0,0324%";"1"
"BRAX - LÉGUEVIN - TOULOUSE MATABIAU";73;"0,0620%";"2";55;"0,0519%";"1"
"AVIGNON CENTRE - NIMES PONT DU GARD";73;"0,0617%";"1";72;"0,0677%";"1"
"ARGELES SUR MER - MONTPELLIER SAINT-ROCH";72;"0,0609%";"0";88;"0,0825%";"0"
"ALBIAS - TOULOUSE MATABIAU";72;"0,0608%";"1";49;"0,0457%";"1"
"CAZÈRES - MURET";72;"0,0607%";"2";39;"0,0370%";"2"
"MONTPELLIER SAINT-ROCH - PORT LA NOUVELLE";70;"0,0590%";"0";82;"0,0770%";"0"
"BEZIERS - LUNEL";70;"0,0588%";"0";71;"0,0666%";"0"
"ARGELES SUR MER - NARBONNE";69;"0,0582%";"0";31;"0,0287%";"0"
"LUNEL - NARBONNE";69;"0,0582%";"0";66;"0,0623%";"0"
"COLOMIERS - TOULOUSE MATABIAU";69;"0,0579%";"1";39;"0,0364%";"1"
"PINS JUSTARET - SAINT-AGNE";68;"0,0575%";"3";90;"0,0840%";"4"
"ALES - GENOLHAC";68;"0,0573%";"2";97;"0,0914%";"1"
"MONTPELLIER SAINT-ROCH - SAINT-CHÉLY-D'APCHER";67;"0,0570%";"0";55;"0,0514%";"0"
"NIMES - VILLEFORT";67;"0,0570%";"0";9;"0,0081%";"0"
"CARBONNE - MURET";67;"0,0569%";"2";28;"0,0260%";"1"
"LUNEL - SETE";67;"0,0565%";"1";98;"0,0922%";"1"
"CERBERE - TOULOUSE MATABIAU";67;"0,0564%";"0";109;"0,1019%";"0"
"LAMAGISTERE - TOULOUSE MATABIAU";67;"0,0563%";"0";37;"0,0348%";"0"
"TOULOUSE MATABIAU - VERNET-D'ARIEGE";66;"0,0560%";"1";8;"0,0076%";"0"
"BRETENOUX BIARS - BRIVE LA GAILLARDE";64;"0,0545%";"0";75;"0,0703%";"0"
"LUNEL - PERPIGNAN";64;"0,0542%";"0";59;"0,0548%";"0"
"NAUCELLE - TOULOUSE MATABIAU";64;"0,0542%";"0";37;"0,0345%";"0"
"SALLES COURBATIERS - TOULOUSE MATABIAU";64;"0,0538%";"0";69;"0,0645%";"0"
"AUCH - SAINT-AGNE";64;"0,0537%";"1";32;"0,0299%";"1"
"BEAUCAIRE - MONTPELLIER SAINT-ROCH";63;"0,0535%";"1";110;"0,1031%";"1"
"PIBRAC - TOULOUSE MATABIAU";63;"0,0534%";"2";44;"0,0417%";"1"
"BRIVE LA GAILLARDE - CAHORS";63;"0,0532%";"0";75;"0,0704%";"1"
"BAILLARGUES - SETE";62;"0,0525%";"3";69;"0,0645%";"3"
"AUCH - GIMONT CAHUZAC";62;"0,0521%";"2";14;"0,0135%";"1"
"SETE - TOULOUSE MATABIAU";62;"0,0520%";"0";110;"0,1027%";"0"
"TARBES - TOURNAY";61;"0,0518%";"0";85;"0,0798%";"1"
"BRIVE LA GAILLARDE - SAINT-DENIS-PRES-MARTEL";61;"0,0513%";"0";31;"0,0289%";"0"
"CASTELNAUDARY - PERPIGNAN";61;"0,0513%";"0";74;"0,0690%";"0"
"LUNEL - NIMES PONT DU GARD";61;"0,0513%";"0";27;"0,0257%";"0"
"MERENS LES VALS - TOULOUSE MATABIAU";60;"0,0507%";"0";32;"0,0300%";"0"
"GRAND COMBE LA PISE - NIMES";60;"0,0506%";"1";111;"0,1043%";"1"
"AUTERIVE - PAMIERS";60;"0,0506%";"1";36;"0,0333%";"1"
"BRAM - NARBONNE";60;"0,0504%";"0";126;"0,1186%";"0"
"BOUSSENS - MONTRÉJEAU - GOURDAN-POLIGNAN";59;"0,0502%";"0";50;"0,0465%";"1"
"MONTRÉJEAU - GOURDAN-POLIGNAN - SAINT-AGNE";59;"0,0502%";"0";22;"0,0203%";"0"
"BEZIERS - FRONTIGNAN";59;"0,0502%";"2";120;"0,1122%";"1"
"BRAX - LÉGUEVIN - COLOMIERS";59;"0,0501%";"3";31;"0,0287%";"1"
"BEZIERS - NIMES PONT DU GARD";59;"0,0500%";"0";13;"0,0126%";"0"
"BAGNERES-DE-LUCHON - TOULOUSE MATABIAU";59;"0,0499%";"0";48;"0,0451%";"0"
"LES CABANNES - TOULOUSE MATABIAU";59;"0,0499%";"0";28;"0,0266%";"0"
