Parcours,DÇpart,ArrivÇe,Nombre de voyages,Poids de voyages,Nombre d'abonnements
LALBENQUE FONTANES - TOULOUSE MATABIAU,LALBENQUE FONTANES,TOULOUSE MATABIAU,98,"0,00114840161244961",0
ARGELES SUR MER - PERPIGNAN,ARGELES SUR MER,PERPIGNAN,97,"0,00113668322864911",0
CASTELNAUDARY - NARBONNE,CASTELNAUDARY,NARBONNE,97,"0,00113668322864911",0
SAINT-AGNE - SAINT-GAUDENS,SAINT-AGNE,SAINT-GAUDENS,96,"0,0011249648448486",0
PORTET SAINT-SIMON - TOULOUSE MATABIAU,PORTET SAINT-SIMON,TOULOUSE MATABIAU,92,"0,00107809130964657",0
LUC PRIMAUBE - TOULOUSE MATABIAU,LUC PRIMAUBE,TOULOUSE MATABIAU,91,"0,00106637292584607",0
LANNEMEZAN - TARBES,LANNEMEZAN,TARBES,90,"0,00105465454204556",0
MERENS LES VALS - TOULOUSE MATABIAU,MERENS LES VALS,TOULOUSE MATABIAU,90,"0,00105465454204556",0
BRIVE LA GAILLARDE - RODEZ,BRIVE LA GAILLARDE,RODEZ,88,"0,00103121777444455",0
FAUGA - TOULOUSE MATABIAU,FAUGA,TOULOUSE MATABIAU,88,"0,00103121777444455",0
NIMES - TARASCON,NIMES,TARASCON,88,"0,00103121777444455",0
BANYULS SUR MER - PERPIGNAN,BANYULS SUR MER,PERPIGNAN,87,"0,00101949939064404",0
BRIVE LA GAILLARDE - CAHORS,BRIVE LA GAILLARDE,CAHORS,87,"0,00101949939064404",0
PERPIGNAN - PORT BOU FRONTIERE,PERPIGNAN,PORT BOU FRONTIERE,87,"0,00101949939064404",0
CARBONNE - SAINT-AGNE,CARBONNE,SAINT-AGNE,85,"0,00099606262304303",0
DAMIATTE ST PAUL - TOULOUSE MATABIAU,DAMIATTE ST PAUL,TOULOUSE MATABIAU,85,"0,00099606262304303",0
AVIGNON CENTRE - NIMES PONT DU GARD,AVIGNON CENTRE,NIMES PONT DU GARD,84,"0,000984344239242524",0
RIVESALTES - TOULOUSE MATABIAU,RIVESALTES,TOULOUSE MATABIAU,84,"0,000984344239242524",0
ARGELES SUR MER - MONTPELLIER SAINT-ROCH,ARGELES SUR MER,MONTPELLIER SAINT-ROCH,83,"0,000972625855442017",0
BOUSSENS - SAINT-AGNE,BOUSSENS,SAINT-AGNE,83,"0,000972625855442017",0
NIMES - TOULOUSE MATABIAU,NIMES,TOULOUSE MATABIAU,83,"0,000972625855442017",0
AGDE - SETE,AGDE,SETE,82,"0,000960907471641511",0
ALBI - CARMAUX,ALBI,CARMAUX,82,"0,000960907471641511",0
CASTELSARRASIN - MONTAUBAN,CASTELSARRASIN,MONTAUBAN,82,"0,000960907471641511",0
TOULOUSE MATABIAU - VIELMUR SUR AGOUT,TOULOUSE MATABIAU,VIELMUR SUR AGOUT,82,"0,000960907471641511",0
BAZIEGE - TOULOUSE MATABIAU,BAZIEGE,TOULOUSE MATABIAU,81,"0,000949189087841005",0
ARGELES SUR MER - NARBONNE,ARGELES SUR MER,NARBONNE,80,"0,000937470704040499",0
AVIGNON CENTRE - LUNEL,AVIGNON CENTRE,LUNEL,80,"0,000937470704040499",0
LA BASTIDE ST LAURENT L BAINS - NIMES,LA BASTIDE ST LAURENT L BAINS,NIMES,80,"0,000937470704040499",0
PAU - TARBES,PAU,TARBES,80,"0,000937470704040499",0
BARAQUEVILLE CARCENAC PEYRALES - TOULOUSE MATABIAU,BARAQUEVILLE CARCENAC PEYRALES,TOULOUSE MATABIAU,79,"0,000925752320239993",0
CARCASSONNE - MONTPELLIER SAINT-ROCH,CARCASSONNE,MONTPELLIER SAINT-ROCH,78,"0,000914033936439486",0
LUNEL - NARBONNE,LUNEL,NARBONNE,76,"0,000890597168838474",0
MONTBARTIER - TOULOUSE MATABIAU,MONTBARTIER,TOULOUSE MATABIAU,76,"0,000890597168838474",0
ALBI - GAILLAC,ALBI,GAILLAC,75,"0,000878878785037968",0
MARTRES TOLOSANE - TOULOUSE MATABIAU,MARTRES TOLOSANE,TOULOUSE MATABIAU,75,"0,000878878785037968",0
CORDES VINDRAC - TOULOUSE MATABIAU,CORDES VINDRAC,TOULOUSE MATABIAU,73,"0,000855442017436955",0
LABRUGUIERE - TOULOUSE MATABIAU,LABRUGUIERE,TOULOUSE MATABIAU,73,"0,000855442017436955",0
BRAX - LêGUEVIN - TOULOUSE MATABIAU,BRAX,LêGUEVIN,72,"0,000843723633636449",0
CAUSSADE - MONTAUBAN,CAUSSADE,MONTAUBAN,72,"0,000843723633636449",0
COLLIOURE - MONTPELLIER SAINT-ROCH,COLLIOURE,MONTPELLIER SAINT-ROCH,72,"0,000843723633636449",0
